corpus,model_type,feature,term,coef,p_value,aic,n
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-45091477.64551191,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",991910.2379836865,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],-82.38505835496434,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],15.193404774887277,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-47.01456227059735,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],212.23440608302207,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],185.2512176512407,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],59.47486530306123,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-44.18227842223283,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],25.719756790169576,,92667.67560214998,6476
masac,all_condition,F0tiltstd,Intercept,370.05455143243177,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(condition)[T.monolingual_EN],-77.53279674115764,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(condition)[T.monolingual_HI],-55.28303446857278,,86686.77352999231,6476
masac,all_condition,F0tiltstd,has_discourse_marker[T.True],17.756044028590516,,86686.77352999231,6476
masac,all_condition,F0tiltstd,has_repetition[T.True],15.46753037116649,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(dialogue_act)[T.1],-673808971196854.8,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(dialogue_act)[T.a],31.809265039950205,,86686.77352999231,6476
masac,all_condition,F0tiltstd,"C(dialogue_act)[T.a,_i]",71.52824464373427,,86686.77352999231,6476
masac,all_condition,F0tiltstd,"C(dialogue_act)[T.a,_o]",92.31659768449248,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(dialogue_act)[T.i],11.771730118147522,,86686.77352999231,6476
masac,all_condition,F0tiltstd,"C(dialogue_act)[T.i,_a]",30.063983856383686,,86686.77352999231,6476
masac,all_condition,F0tiltstd,"C(dialogue_act)[T.i,_a,_o]",18.483135952394093,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(dialogue_act)[T.o],14.878945335204941,,86686.77352999231,6476
masac,all_condition,F0tiltstd,"C(dialogue_act)[T.o,_a]",193.5348671084001,,86686.77352999231,6476
masac,all_condition,F0tiltstd,"C(dialogue_act)[T.o,_i]",-102.06873422133049,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(audience_proficiency_proxy)[T.low_l2],-114.29392614832219,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(audience_proficiency_proxy)[T.mid_l2],14.139892031599272,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],7016613944553.148,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],673808971196899.5,,86686.77352999231,6476
masac,all_condition,F0tiltstd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-920076192708.2417,,86686.77352999231,6476
